game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h2,A,B,1,B,2,46,-44,18,9,9,0.0002173320681322366,0.03873150094295852,2.4148007570248512e-05,0.0043035001047731685,0,9,0,352,0,55,0.0,3.0,3,
1,random,minimax_h2,A,B,1,B,8,40,-32,48,24,24,0.0002837949723470956,0.06014958495507017,1.1824790514462316e-05,0.002506232706461257,0,24,0,771,0,118,0.0,3.0,3,
2,random,minimax_h2,A,B,1,B,19,29,-10,24,12,12,0.0001753749675117433,0.02910125203197822,1.461458062597861e-05,0.002425104335998185,0,12,0,356,0,60,0.0,3.0,3,
3,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.00017183300224132836,0.04204662493430078,1.3217923249332951e-05,0.0035038854111917317,0,12,0,468,0,72,0.0,3.0,3,
4,random,minimax_h2,A,B,1,B,13,35,-22,39,20,19,0.00023129204055294394,0.045965372963109985,1.1564602027647198e-05,0.002419230155953157,0,19,0,532,0,84,0.0,3.0,3,
5,random,minimax_h2,A,B,1,B,13,35,-22,16,8,8,9.483395842835307e-05,0.02218291803728789,1.1854244803544134e-05,0.0027728647546609864,0,8,0,181,0,26,0.0,3.0,3,
6,random,minimax_h2,A,B,1,B,15,33,-18,22,11,11,0.00013087497791275382,0.02936549691366963,1.1897725264795802e-05,0.002669590628515421,0,11,0,325,0,48,0.0,3.0,3,
7,random,minimax_h2,A,B,1,B,12,36,-24,40,20,20,0.00022012600675225258,0.037738960003480315,1.1006300337612628e-05,0.0018869480001740158,0,20,0,504,0,87,0.0,3.0,3,
8,random,minimax_h2,A,B,1,B,14,34,-20,19,10,9,0.00016174797201529145,0.0336875019420404,1.6174797201529147e-05,0.003743055771337822,0,9,0,297,0,46,0.0,3.0,3,
9,random,minimax_h2,A,B,1,B,9,39,-30,18,9,9,0.00015754401101730764,0.02463962504407391,1.7504890113034184e-05,0.0027377361160082123,0,9,0,274,0,47,0.0,3.0,3,
10,random,minimax_h2,A,B,1,B,10,38,-28,31,16,15,0.00016116697224788368,0.0283953339967411,1.007293576549273e-05,0.0018930222664494067,0,15,0,320,0,61,0.0,3.0,3,
11,random,minimax_h2,A,B,1,B,14,34,-20,26,13,13,0.00015833397628739476,0.034123248973628506,1.2179536637491905e-05,0.0026248653056637314,0,13,0,385,0,58,0.0,3.0,3,
12,random,minimax_h2,A,B,1,B,6,42,-36,25,13,12,0.00019762193551287055,0.047395127010531723,1.5201687347143888e-05,0.00394959391754431,0,12,0,507,0,75,0.0,3.0,3,
13,random,minimax_h2,A,B,1,B,7,41,-34,16,8,8,0.00012604202493093908,0.024796165991574526,1.5755253116367385e-05,0.0030995207489468157,0,8,0,232,0,29,0.0,3.0,3,
14,random,minimax_h2,A,B,1,B,16,32,-16,16,8,8,0.0001072499726433307,0.01714512603939511,1.3406246580416337e-05,0.0021431407549243886,0,8,0,232,0,35,0.0,3.0,3,
15,random,minimax_h2,A,B,1,B,6,42,-36,29,15,14,0.0001951669401023537,0.04655208298936486,1.3011129340156913e-05,0.003325148784954633,0,14,0,444,0,79,0.0,3.0,3,
16,random,minimax_h2,A,B,1,B,14,34,-20,14,7,7,0.0001464999804738909,0.023579499014886096,2.092856863912727e-05,0.003368499859269442,0,7,0,206,0,36,0.0,3.0,3,
17,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.00020862495875917375,0.03423362597823143,1.6048073750705673e-05,0.002852802164852619,0,12,0,293,0,49,0.0,3.0,3,
18,random,minimax_h2,A,B,1,B,16,32,-16,28,14,14,0.00015016502584330738,0.035541293007554486,1.0726073274521955e-05,0.002538663786253892,0,14,0,425,0,71,0.0,3.0,3,
19,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.000136125017888844,0.02883712502080016,1.0471155222218771e-05,0.0024030937517333464,0,12,0,253,0,46,0.0,3.0,3,
20,random,minimax_h2,A,B,1,B,16,32,-16,27,14,13,0.0001857080205809325,0.026969250990077853,1.326485861292375e-05,0.0020745577684675273,0,13,0,353,0,56,0.0,3.0,3,
21,random,minimax_h2,A,B,1,B,9,39,-30,22,11,11,0.00018104209448210895,0.032524459064006805,1.645837222564627e-05,0.0029567690058188005,0,11,0,300,0,54,0.0,3.0,3,
22,random,minimax_h2,A,B,1,B,6,42,-36,33,17,16,0.0001722069864626974,0.04175021004630253,1.0129822733099846e-05,0.002609388127893908,0,16,0,467,0,74,0.0,3.0,3,
23,random,minimax_h2,A,B,1,B,12,36,-24,16,8,8,0.00010929000563919544,0.025633375014876947,1.366125070489943e-05,0.0032041718768596184,0,8,0,274,0,43,0.0,3.0,3,
24,random,minimax_h2,A,B,1,B,9,39,-30,24,12,12,0.0002148760249838233,0.0345480810792651,1.7906335415318608e-05,0.0028790067566054254,0,12,0,341,0,64,0.0,3.0,3,
25,random,minimax_h2,A,B,1,B,4,44,-40,26,13,13,0.0001719570136629045,0.043344666075427085,1.3227462589454193e-05,0.0033342050827251603,0,13,0,465,0,76,0.0,3.0,3,
26,random,minimax_h2,A,B,1,B,20,28,-8,43,22,21,0.00021245903917588294,0.033192918985150754,9.657229053449225e-06,0.0015806151897690835,0,21,0,491,0,87,0.0,3.0,3,
27,random,minimax_h2,A,B,1,B,10,38,-28,12,6,6,0.00012841704301536083,0.026988873956725,2.140284050256014e-05,0.004498145659454167,0,6,0,202,0,35,0.0,3.0,3,
28,random,minimax_h2,A,B,1,B,11,37,-26,20,10,10,0.00017137499526143074,0.03209962698747404,1.7137499526143074e-05,0.003209962698747404,0,10,0,324,0,59,0.0,3.0,3,
29,random,minimax_h2,A,B,1,B,7,41,-34,10,5,5,0.00010537498746998608,0.024515958008123562,2.1074997493997217e-05,0.004903191601624712,0,5,0,205,0,33,0.0,3.0,3,
30,random,minimax_h2,A,B,1,B,9,39,-30,19,10,9,0.00014920803369022906,0.025174580980092287,1.4920803369022907e-05,0.0027971756644546986,0,9,0,242,0,41,0.0,3.0,3,
31,random,minimax_h2,A,B,1,B,13,35,-22,33,17,16,0.00018608392565511167,0.04092958601540886,1.0946113273830098e-05,0.0025580991259630537,0,16,0,565,0,88,0.0,3.0,3,
32,random,minimax_h2,A,B,1,B,14,34,-20,24,12,12,0.00012475199764594436,0.018085042014718056,1.0395999803828696e-05,0.001507086834559838,0,12,0,299,0,47,0.0,3.0,3,
33,random,minimax_h2,A,B,1,B,16,32,-16,26,13,13,0.0001381650217808783,0.02129116703872569,1.06280785985291e-05,0.001637782079901976,0,13,0,340,0,54,0.0,3.0,3,
34,random,minimax_h2,A,B,1,B,9,39,-30,29,15,14,0.00022487397654913366,0.05293612496461719,1.4991598436608911e-05,0.0037811517831869423,0,14,0,515,0,87,0.0,3.0,3,
35,random,minimax_h2,A,B,1,B,12,36,-24,31,16,15,0.00016466501983813941,0.030691877065692097,1.0291563739883713e-05,0.0020461251377128066,0,15,0,390,0,59,0.0,3.0,3,
36,random,minimax_h2,A,B,1,B,13,35,-22,11,6,5,0.00012458197306841612,0.030907959036994725,2.0763662178069353e-05,0.006181591807398945,0,5,0,210,0,32,0.0,3.0,3,
37,random,minimax_h2,A,B,1,B,7,41,-34,28,14,14,0.00023087600129656494,0.04138054096256383,1.649114294975464e-05,0.0029557529258974163,0,14,0,401,0,58,0.0,3.0,3,
38,random,minimax_h2,A,B,1,B,19,29,-10,28,14,14,0.0001940829388331622,0.03901183500420302,1.3863067059511585e-05,0.0027865596431573586,0,14,0,473,0,88,0.0,3.0,3,
39,random,minimax_h2,A,B,1,B,5,43,-38,32,16,16,0.00013558304635807872,0.019401668017962947,8.47394039737992e-06,0.0012126042511226842,0,16,0,257,0,43,0.0,3.0,3,
40,random,minimax_h2,A,B,1,B,9,39,-30,18,9,9,0.00014003997785039246,0.025622043991461396,1.5559997538932497e-05,0.002846893776829044,0,9,0,340,0,51,0.0,3.0,3,
41,random,minimax_h2,A,B,1,B,11,37,-26,20,10,10,0.00010375003330409527,0.019845916045596823,1.0375003330409528e-05,0.0019845916045596822,0,10,0,270,0,45,0.0,3.0,3,
42,random,minimax_h2,A,B,1,B,9,39,-30,30,15,15,0.00020041799871250987,0.03432791610248387,1.3361199914167324e-05,0.0022885277401655914,0,15,0,480,0,84,0.0,3.0,3,
43,random,minimax_h2,A,B,1,B,4,44,-40,41,21,20,0.0002193330437876284,0.05870291593600996,1.0444430656553733e-05,0.002935145796800498,0,20,0,652,0,101,0.0,3.0,3,
44,random,minimax_h2,A,B,1,B,17,31,-14,19,10,9,0.00013583400868810713,0.029839915980119258,1.3583400868810713e-05,0.003315546220013251,0,9,0,332,0,44,0.0,3.0,3,
45,random,minimax_h2,A,B,1,B,9,39,-30,19,10,9,0.00018329097656533122,0.039503502019215375,1.8329097656533122e-05,0.004389278002135042,0,9,0,325,0,59,0.0,3.0,3,
46,random,minimax_h2,A,B,1,B,11,37,-26,26,13,13,0.0001600419927854091,0.031370707001769915,1.2310922521954546e-05,0.0024131313078284552,0,13,0,440,0,74,0.0,3.0,3,
47,random,minimax_h2,A,B,1,B,12,36,-24,18,9,9,0.00010920994100160897,0.01847896003164351,1.2134437889067663e-05,0.0020532177812937233,0,9,0,259,0,41,0.0,3.0,3,
48,random,minimax_h2,A,B,1,B,15,33,-18,20,10,10,0.000123792007798329,0.02058749899151735,1.2379200779832899e-05,0.002058749899151735,0,10,0,282,0,47,0.0,3.0,3,
49,random,minimax_h2,A,B,1,B,9,39,-30,30,15,15,0.00016049802070483565,0.033070624980609864,1.0699868046989044e-05,0.0022047083320406577,0,15,0,423,0,65,0.0,3.0,3,
50,random,minimax_h2,B,A,0,B,37,11,-26,18,9,9,0.02467837490257807,6.933099939487875e-05,0.002742041655842008,7.703444377208749e-06,9,0,277,0,47,0,3.0,0.0,3,
51,random,minimax_h2,B,A,0,B,39,9,-30,26,13,13,0.05393583400291391,0.000149500003317371,0.004148910307916454,1.1500000255182385e-05,13,0,357,0,58,0,3.0,0.0,3,
52,random,minimax_h2,B,A,0,B,35,13,-22,22,11,11,0.04156662497553043,0.0001508750137872994,0.0037787840886845847,1.3715910344299944e-05,11,0,364,0,59,0,3.0,0.0,3,
53,random,minimax_h2,B,A,0,B,42,6,-36,21,11,10,0.04215904203010723,0.00014583297888748348,0.0038326401845552027,1.4583297888748347e-05,11,0,378,0,60,0,3.0,0.0,3,
54,random,minimax_h2,B,A,0,B,44,4,-40,27,14,13,0.0807023330416996,0.0003087919612880796,0.0057644523601214,2.375322779139074e-05,14,0,524,0,84,0,3.0,0.0,3,
55,random,minimax_h2,B,A,0,B,35,13,-22,19,10,9,0.0249177070800215,7.904003723524511e-05,0.00249177070800215,8.782226359471679e-06,10,0,281,0,41,0,3.0,0.0,3,
