game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12723283312516287,0.2728364169597626,0.00471232715278381,0.010493708344606252,27,26,1181,1122,196,196,3.0,3.0,3,
1,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1265312100003939,0.27324683804181404,0.004686341111125701,0.010509493770839002,27,26,1181,1122,196,196,3.0,3.0,3,
2,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12911574903409928,0.2742265820270404,0.004782064779040714,0.010547176231809247,27,26,1181,1122,196,196,3.0,3.0,3,
3,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1275545829848852,0.272481372958282,0.0047242438142550075,0.01048005280608777,27,26,1181,1122,196,196,3.0,3.0,3,
4,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12774032994639128,0.2741756650211755,0.004731123331347825,0.010545217885429828,27,26,1181,1122,196,196,3.0,3.0,3,
5,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1279344979848247,0.2845924159337301,0.004738314740178693,0.01094586215129731,27,26,1181,1122,196,196,3.0,3.0,3,
6,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12863733404083177,0.2803523330949247,0.004764345705215992,0.010782782042112488,27,26,1181,1122,196,196,3.0,3.0,3,
7,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.13610691402573138,0.2829280369915068,0.005040996815767829,0.010881847576596416,27,26,1181,1122,196,196,3.0,3.0,3,
8,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12980945891467854,0.2732150800002273,0.004807757737580687,0.010508272307701051,27,26,1181,1122,196,196,3.0,3.0,3,
9,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1277863339346368,0.27263891804614104,0.004732827182764326,0.010486112232543886,27,26,1181,1122,196,196,3.0,3.0,3,
10,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12718029104871675,0.27923770996858366,0.004710381149952473,0.010739911921868602,27,26,1181,1122,196,196,3.0,3.0,3,
11,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1274104150943458,0.2740179570100736,0.004718904262753548,0.010539152192695137,27,26,1181,1122,196,196,3.0,3.0,3,
12,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12701304006623104,0.27274720891728066,0.0047041866691196685,0.010490277266049257,27,26,1181,1122,196,196,3.0,3.0,3,
13,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12643633503466845,0.2724515850713942,0.004682827223506238,0.010478907118130546,27,26,1181,1122,196,196,3.0,3.0,3,
14,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12757596198935062,0.2760092070384417,0.004725035629235208,0.010615738732247757,27,26,1181,1122,196,196,3.0,3.0,3,
15,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.1273622090520803,0.2720905000460334,0.004717118853780751,0.010465019232539747,27,26,1181,1122,196,196,3.0,3.0,3,
16,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12802387797273695,0.2740204169822391,0.004741625110101368,0.010539246807009196,27,26,1181,1122,196,196,3.0,3.0,3,
17,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12849775201175362,0.27432191811385565,0.004759176000435319,0.010550843004379064,27,26,1181,1122,196,196,3.0,3.0,3,
18,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.14038941691978835,0.3057129160151817,0.005199608034066235,0.011758189077506987,27,26,1181,1122,196,196,3.0,3.0,3,
19,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.12711762503022328,0.27212654083268717,0.0047080601863045655,0.010466405416641815,27,26,1181,1122,196,196,3.0,3.0,3,
20,minimax_h2,minimax_h3,A,B,0,A,30,18,12,53,27,26,0.13168649905128404,0.27479658101219684,0.00487727774264015,0.010569099269699879,27,26,1181,1122,196,196,3.0,3.0,3,
