game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h3,A,B,1,B,3,45,-42,18,9,9,0.00019966598483733833,0.09672916703857481,2.2185109426370924e-05,0.010747685226508312,0,9,0,385,0,55,0.0,3.0,3,
1,random,minimax_h3,A,B,1,B,7,41,-34,14,7,7,0.00011966697638854384,0.05180645902873948,1.7095282341220548e-05,0.007400922718391355,0,7,0,209,0,35,0.0,3.0,3,
2,random,minimax_h3,A,B,1,B,21,27,-6,25,13,12,0.0001866229868028313,0.06294562495895661,1.4355614369448562e-05,0.005245468746579718,0,12,0,371,0,56,0.0,3.0,3,
3,random,minimax_h3,A,B,1,B,10,38,-28,28,14,14,0.00020124996080994606,0.09629029000643641,1.4374997200710432e-05,0.0068778778576026,0,14,0,505,0,71,0.0,3.0,3,
4,random,minimax_h3,A,B,1,B,15,33,-18,34,17,17,0.0003035839763469994,0.15319629103760235,1.78578809615882e-05,0.009011546531623667,0,17,0,565,0,87,0.0,3.0,3,
5,random,minimax_h3,A,B,1,B,4,44,-40,31,16,15,0.00016683191643096507,0.08370037403074093,1.0426994776935317e-05,0.005580024935382729,0,15,0,438,0,71,0.0,3.0,3,
6,random,minimax_h3,A,B,1,B,15,33,-18,22,11,11,0.00014187395572662354,0.06319616799009964,1.2897632338783957e-05,0.005745106180918149,0,11,0,324,0,48,0.0,3.0,3,
7,random,minimax_h3,A,B,1,B,15,33,-18,41,21,20,0.00026058100047521293,0.11882491508731619,1.2408619070248234e-05,0.005941245754365809,0,20,0,781,0,133,0.0,3.0,3,
8,random,minimax_h3,A,B,1,B,8,40,-32,14,7,7,0.00012779198004864156,0.05868150101741776,1.8255997149805937e-05,0.008383071573916823,0,7,0,215,0,37,0.0,3.0,3,
9,random,minimax_h3,A,B,1,B,9,39,-30,16,8,8,0.00019808398792520165,0.055342832987662405,2.4760498490650207e-05,0.006917854123457801,0,8,0,281,0,51,0.0,3.0,3,
10,random,minimax_h3,A,B,1,B,8,40,-32,28,14,14,0.0001635009830351919,0.07473399900482036,1.167864164537085e-05,0.005338142786058597,0,14,0,469,0,84,0.0,3.0,3,
11,random,minimax_h3,A,B,1,B,12,36,-24,25,13,12,0.00019379003788344562,0.07189471001038328,1.4906925991034279e-05,0.005991225834198606,0,12,0,368,0,53,0.0,3.0,3,
12,random,minimax_h3,A,B,1,B,12,36,-24,18,9,9,0.0001682490692473948,0.10090274902177043,1.869434102748831e-05,0.011211416557974493,0,9,0,333,0,43,0.0,3.0,3,
13,random,minimax_h3,A,B,1,B,7,41,-34,16,8,8,0.00013129194849170744,0.06140641696401872,1.641149356146343e-05,0.00767580212050234,0,8,0,250,0,34,0.0,3.0,3,
14,random,minimax_h3,A,B,1,B,16,32,-16,16,8,8,0.00010620802640914917,0.0361881670251023,1.3276003301143646e-05,0.004523520878137788,0,8,0,215,0,38,0.0,3.0,3,
15,random,minimax_h3,A,B,1,B,14,34,-20,34,17,17,0.0002452080661896616,0.14461816800758243,1.4424003893509507e-05,0.008506951059269555,0,17,0,611,0,99,0.0,3.0,3,
16,random,minimax_h3,A,B,1,B,19,29,-10,22,11,11,0.0001402510388288647,0.05293291495763697,1.27500944389877e-05,0.004812083177966997,0,11,0,264,0,43,0.0,3.0,3,
17,random,minimax_h3,A,B,1,B,4,44,-40,16,8,8,0.0001592919579707086,0.0780688340018969,1.9911494746338576e-05,0.009758604250237113,0,8,0,241,0,37,0.0,3.0,3,
18,random,minimax_h3,A,B,1,B,20,28,-8,24,12,12,0.00014554298832081258,0.05511908303014934,1.2128582360067716e-05,0.004593256919179112,0,12,0,335,0,58,0.0,3.0,3,
19,random,minimax_h3,A,B,1,B,11,37,-26,25,13,12,0.00012679005158133805,0.05926833295961842,9.753080890872157e-06,0.004939027746634868,0,12,0,262,0,40,0.0,3.0,3,
20,random,minimax_h3,A,B,1,B,16,32,-16,28,14,14,0.00018371001351624727,0.06411387407570146,1.3122143822589091e-05,0.004579562433978676,0,14,0,370,0,53,0.0,3.0,3,
21,random,minimax_h3,A,B,1,B,2,46,-44,25,13,12,0.00021383402054198086,0.10409487405559048,1.6448770810921604e-05,0.008674572837965874,0,12,0,397,0,61,0.0,3.0,3,
22,random,minimax_h3,A,B,1,B,8,40,-32,26,13,13,0.00021187699167057872,0.10004104199470021,1.6298230128506057e-05,0.007695464768823093,0,13,0,478,0,74,0.0,3.0,3,
23,random,minimax_h3,A,B,1,B,19,29,-10,17,9,8,0.0001270020438823849,0.04589562598266639,1.4111338209153877e-05,0.0057369532478332985,0,8,0,241,0,35,0.0,3.0,3,
24,random,minimax_h3,A,B,1,B,3,45,-42,20,10,10,0.0001550849701743573,0.07702616599272005,1.550849701743573e-05,0.007702616599272005,0,10,0,369,0,51,0.0,3.0,3,
25,random,minimax_h3,A,B,1,B,10,38,-28,35,18,17,0.0002115829847753048,0.0974867089826148,1.175461026529471e-05,0.005734512293094988,0,17,0,550,0,79,0.0,3.0,3,
26,random,minimax_h3,A,B,1,B,18,30,-12,22,11,11,0.00017329203546978533,0.05400920900865458,1.575382140634412e-05,0.0049099280916958706,0,11,0,329,0,52,0.0,3.0,3,
27,random,minimax_h3,A,B,1,B,10,38,-28,12,6,6,0.0001317510032095015,0.06038891791831702,2.195850053491692e-05,0.010064819653052837,0,6,0,211,0,29,0.0,3.0,3,
28,random,minimax_h3,A,B,1,B,15,33,-18,25,13,12,0.0001827078522183001,0.07215533405542374,1.4054450170638469e-05,0.006012944504618645,0,12,0,364,0,51,0.0,3.0,3,
29,random,minimax_h3,A,B,1,B,7,41,-34,10,5,5,0.00010416502482257783,0.05537983198883012,2.0833004964515566e-05,0.011075966397766025,0,5,0,210,0,31,0.0,3.0,3,
