game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h1,A,B,1,B,10,38,-28,22,11,11,0.00017333499272353947,0.027996543038170785,1.575772661123086e-05,0.002545140276197344,0,11,0,367,0,60,0.0,3.0,3,
1,random,minimax_h1,A,B,1,B,9,39,-30,36,18,18,0.00022324701421894133,0.03347358398605138,1.2402611901052296e-05,0.0018596435547806323,0,18,0,509,0,81,0.0,3.0,3,
2,random,minimax_h1,A,B,1,B,15,33,-18,34,17,17,0.0001841259654611349,0.024439749016892165,1.0830939144772642e-05,0.0014376322951113038,0,17,0,423,0,76,0.0,3.0,3,
3,random,minimax_h1,A,B,1,B,12,36,-24,27,14,13,0.0001537509961053729,0.0263810419710353,1.0982214007526636e-05,0.0020293109208488693,0,13,0,372,0,61,0.0,3.0,3,
4,random,minimax_h1,A,B,1,B,11,37,-26,32,16,16,0.00021887500770390034,0.035913001076551154,1.3679687981493771e-05,0.002244562567284447,0,16,0,480,0,81,0.0,3.0,3,
5,random,minimax_h1,A,B,1,B,13,35,-22,16,8,8,9.533300180919468e-05,0.017471956933150068,1.1916625226149336e-05,0.0021839946166437585,0,8,0,177,0,26,0.0,3.0,3,
6,random,minimax_h1,A,B,1,B,15,33,-18,22,11,11,0.00013391702668741345,0.024207749986089766,1.2174275153401224e-05,0.0022007045441899786,0,11,0,321,0,48,0.0,3.0,3,
7,random,minimax_h1,A,B,1,B,12,36,-24,40,20,20,0.00020941797993145883,0.030121291987597942,1.0470898996572941e-05,0.0015060645993798972,0,20,0,495,0,90,0.0,3.0,3,
8,random,minimax_h1,A,B,1,B,8,40,-32,14,7,7,0.00012370999320410192,0.024132748949341476,1.767285617201456e-05,0.0034475355641916394,0,7,0,244,0,38,0.0,3.0,3,
9,random,minimax_h1,A,B,1,B,9,39,-30,18,9,9,0.0001502490194980055,0.019693958020070568,1.669433549977839e-05,0.0021882175577856186,0,9,0,269,0,49,0.0,3.0,3,
