game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.0459921260480769,0.17094745812937617,0.0024206382130566788,0.008997234638388219,19,19,584,690,105,108,3.0,3.0,3,0.0
1,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04629983296035789,0.17212045800988562,0.002436833313703047,0.009058971474204506,19,19,584,690,105,108,3.0,3.0,3,0.0
2,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.0459657090541441,0.17363525205291808,0.0024192478449549526,0.009138697476469372,19,19,584,690,105,108,3.0,3.0,3,0.0
3,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04539716590079479,0.1776764189999085,0.0023893245210944627,0.009351390473679394,19,19,584,690,105,108,3.0,3.0,3,0.0
4,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04543671102146618,0.17029695789096877,0.002391405843235062,0.008962997783735199,19,19,584,690,105,108,3.0,3.0,3,0.0
5,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04595991695532575,0.1721127090859227,0.002418942997648724,0.009058563636101195,19,19,584,690,105,108,3.0,3.0,3,0.0
6,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04586470892536454,0.17166879001888447,0.002413932048703397,0.009035199474678129,19,19,584,690,105,108,3.0,3.0,3,0.0
7,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.046041079942369834,0.17349029213073663,0.0024232147338089385,0.009131068006880875,19,19,584,690,105,108,3.0,3.0,3,0.0
8,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04584371094824746,0.17094070900930092,0.0024128268920130245,0.008996879421542153,19,19,584,690,105,108,3.0,3.0,3,0.0
9,minimax_h1,minimax_h4,A,B,0,A,33,15,18,38,19,19,0.04561675098375417,0.17072033003205433,0.0024008816307239038,0.00898528052800286,19,19,584,690,105,108,3.0,3.0,3,0.0
