game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,random,minimax_h2,A,B,1,B,2,46,-44,18,9,9,0.00024254198069684207,0.03980949896504171,2.6949108966315787e-05,0.004423277662782412,0,9,0,352,0,55,0.0,3.0,3,0.0
1,random,minimax_h2,A,B,1,B,8,40,-32,48,24,24,0.00030812600743956864,0.062349542044103146,1.283858364331536e-05,0.0025978975851709643,0,24,0,771,0,118,0.0,3.0,3,0.0
2,random,minimax_h2,A,B,1,B,19,29,-10,24,12,12,0.0002537090331315994,0.030126084049697965,2.1142419427633286e-05,0.002510507004141497,0,12,0,356,0,60,0.0,3.0,3,0.0
3,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.00018141508917324245,0.04368925004382618,1.3955006859480189e-05,0.003640770836985515,0,12,0,468,0,72,0.0,3.0,3,0.0
4,random,minimax_h2,A,B,1,B,13,35,-22,39,20,19,0.000228044023970142,0.04594212499796413,1.1402201198507101e-05,0.0024180065788402174,0,19,0,532,0,84,0.0,3.0,3,0.0
5,random,minimax_h2,A,B,1,B,13,35,-22,16,8,8,9.899999713525176e-05,0.022277749958448112,1.237499964190647e-05,0.002784718744806014,0,8,0,181,0,26,0.0,3.0,3,0.0
6,random,minimax_h2,A,B,1,B,15,33,-18,22,11,11,0.00017012600437738,0.030175500927725807,1.5466000397943638e-05,0.0027432273570659822,0,11,0,325,0,48,0.0,3.0,3,0.0
7,random,minimax_h2,A,B,1,B,12,36,-24,40,20,20,0.00021991593530401587,0.037574208952719346,1.0995796765200794e-05,0.0018787104476359674,0,20,0,504,0,87,0.0,3.0,3,0.0
8,random,minimax_h2,A,B,1,B,14,34,-20,19,10,9,0.00018037599511444569,0.03597916703438386,1.8037599511444567e-05,0.0039976852260426516,0,9,0,297,0,46,0.0,3.0,3,0.0
9,random,minimax_h2,A,B,1,B,9,39,-30,18,9,9,0.0002414159826003015,0.0322085419902578,2.6823998066700166e-05,0.003578726887806422,0,9,0,274,0,47,0.0,3.0,3,0.0
10,random,minimax_h2,A,B,1,B,10,38,-28,31,16,15,0.00016087197582237422,0.028833418007707223,1.0054498488898389e-05,0.0019222278671804816,0,15,0,320,0,61,0.0,3.0,3,0.0
11,random,minimax_h2,A,B,1,B,14,34,-20,26,13,13,0.00015837597311474383,0.0336295839806553,1.2182767162672602e-05,0.002586891075435023,0,13,0,385,0,58,0.0,3.0,3,0.0
12,random,minimax_h2,A,B,1,B,6,42,-36,25,13,12,0.00020425004186108708,0.0473077509959694,1.5711541681622082e-05,0.00394231258299745,0,12,0,507,0,75,0.0,3.0,3,0.0
13,random,minimax_h2,A,B,1,B,7,41,-34,16,8,8,0.0001347889774478972,0.02607291701133363,1.684862218098715e-05,0.0032591146264167037,0,8,0,232,0,29,0.0,3.0,3,0.0
14,random,minimax_h2,A,B,1,B,16,32,-16,16,8,8,0.00010945898247882724,0.017596916033653542,1.3682372809853405e-05,0.002199614504206693,0,8,0,232,0,35,0.0,3.0,3,0.0
15,random,minimax_h2,A,B,1,B,6,42,-36,29,15,14,0.00020591402426362038,0.04802616502274759,1.3727601617574691e-05,0.003430440358767685,0,14,0,444,0,79,0.0,3.0,3,0.0
16,random,minimax_h2,A,B,1,B,14,34,-20,14,7,7,0.00013004205538891256,0.022736124956281856,1.8577436484130366e-05,0.003248017850897408,0,7,0,206,0,36,0.0,3.0,3,0.0
17,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.00020379299530759454,0.03405362495686859,1.5676384254430348e-05,0.002837802079739049,0,12,0,293,0,49,0.0,3.0,3,0.0
18,random,minimax_h2,A,B,1,B,16,32,-16,28,14,14,0.0001511250447947532,0.035166001005563885,1.0794646056768085e-05,0.0025118572146831347,0,14,0,425,0,71,0.0,3.0,3,0.0
19,random,minimax_h2,A,B,1,B,11,37,-26,25,13,12,0.00013849802780896425,0.0282885440683458,1.0653694446843405e-05,0.00235737867236215,0,12,0,253,0,46,0.0,3.0,3,0.0
20,random,minimax_h2,A,B,1,B,16,32,-16,27,14,13,0.00018016700050793588,0.027326128038112074,1.2869071464852563e-05,0.0021020098490855442,0,13,0,353,0,56,0.0,3.0,3,0.0
21,random,minimax_h2,A,B,1,B,9,39,-30,22,11,11,0.00016974806203506887,0.032168334029847756,1.5431642003188078e-05,0.002924394002713432,0,11,0,300,0,54,0.0,3.0,3,0.0
22,random,minimax_h2,A,B,1,B,6,42,-36,33,17,16,0.000172666012076661,0.04172166797798127,1.0156824239803587e-05,0.0026076042486238293,0,16,0,467,0,74,0.0,3.0,3,0.0
23,random,minimax_h2,A,B,1,B,12,36,-24,16,8,8,0.0001472939911764115,0.025327502022264525,1.841174889705144e-05,0.0031659377527830657,0,8,0,274,0,43,0.0,3.0,3,0.0
24,random,minimax_h2,A,B,1,B,9,39,-30,24,12,12,0.00044062596862204373,0.03657587611814961,3.6718830718503646e-05,0.0030479896765124672,0,12,0,341,0,64,0.0,3.0,3,0.0
