game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05915446090511978,0.17136320800636895,0.0028168790907199892,0.008160152762208045,21,21,676,693,119,116,3.0,3.0,3,0.0
1,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059150794928427786,0.1734727500588633,0.0028167045204013233,0.008260607145660157,21,21,676,693,119,116,3.0,3.0,3,0.0
2,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05927149998024106,0.17125700204633176,0.002822452380011479,0.008155095335539608,21,21,676,693,119,116,3.0,3.0,3,0.0
3,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.06133737598429434,0.19887583397212438,0.00292082742782354,0.0094702778081964,21,21,676,693,119,116,3.0,3.0,3,0.0
4,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059903667017351836,0.17238900199299678,0.0028525555722548495,0.00820900009490461,21,21,676,693,119,116,3.0,3.0,3,0.0
5,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05939091695472598,0.17253316607093439,0.002828138902605999,0.008215865050996876,21,21,676,693,119,116,3.0,3.0,3,0.0
6,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059300250955857337,0.17173737398115918,0.0028238214740884445,0.008177970189579008,21,21,676,693,119,116,3.0,3.0,3,0.0
7,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059878248954191804,0.17467474911245517,0.002851345188294848,0.0083178451958312,21,21,676,693,119,116,3.0,3.0,3,0.0
8,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05898362415609881,0.1723873749433551,0.002808744007433277,0.008208922616350242,21,21,676,693,119,116,3.0,3.0,3,0.0
9,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05923491599969566,0.17121362502803095,0.0028207102856997934,0.00815302976323957,21,21,676,693,119,116,3.0,3.0,3,0.0
10,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05872883400297724,0.1714740020397585,0.002796611142998916,0.008165428668559929,21,21,676,693,119,116,3.0,3.0,3,0.0
11,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.06039024610072374,0.17450391603051685,0.002875726004796369,0.008309710287167468,21,21,676,693,119,116,3.0,3.0,3,0.0
12,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.058814874035306275,0.17455804094788618,0.002800708287395537,0.008312287664185056,21,21,676,693,119,116,3.0,3.0,3,0.0
13,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059340458014048636,0.17207820995827205,0.002825736095907078,0.00819420047420343,21,21,676,693,119,116,3.0,3.0,3,0.0
14,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05904208298306912,0.17185820997110568,0.0028115277610985295,0.008183724284338365,21,21,676,693,119,116,3.0,3.0,3,0.0
15,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.058954541018465534,0.17103846091777086,0.0028073590961174063,0.008144688615131946,21,21,676,693,119,116,3.0,3.0,3,0.0
16,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.05999716601218097,0.17235870900913142,0.002857007905341951,0.008207557571863401,21,21,676,693,119,116,3.0,3.0,3,0.0
17,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.059577876032562926,0.17278158498811536,0.0028370417158363297,0.008227694523243588,21,21,676,693,119,116,3.0,3.0,3,0.0
18,minimax_h2,minimax_h4,A,B,0,A,33,15,18,42,21,21,0.0626227090251632,0.2003180420724675,0.00298203376310301,0.009538954384403215,21,21,676,693,119,116,3.0,3.0,3,0.0
