game_index,agent_a,agent_b,p0_agent,p1_agent,winner_player,winner_agent,p0_store,p1_store,store_margin_for_a,plies,p0_move_count,p1_move_count,p0_total_time_s,p1_total_time_s,p0_avg_time_s,p1_avg_time_s,p0_minimax_move_count,p1_minimax_move_count,p0_minimax_nodes,p1_minimax_nodes,p0_minimax_cutoffs,p1_minimax_cutoffs,p0_minimax_depth_completed_avg,p1_minimax_depth_completed_avg,minimax_depth_limit,minimax_time_limit_s
0,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13690937592764385,0.19013654097216204,0.005476375037105754,0.007605461638886482,25,25,670,757,100,121,3.0,3.0,3,0.0
1,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13741229398874566,0.19020900398027152,0.005496491759549827,0.00760836015921086,25,25,670,757,100,121,3.0,3.0,3,0.0
2,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.16636179099441506,0.19020504096988589,0.006654471639776603,0.007608201638795435,25,25,670,757,100,121,3.0,3.0,3,0.0
3,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.16124979307642207,0.21713383300811984,0.006449991723056883,0.008685353320324794,25,25,670,757,100,121,3.0,3.0,3,0.0
4,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.1368187919142656,0.1894042108906433,0.005472751676570624,0.007576168435625732,25,25,670,757,100,121,3.0,3.0,3,0.0
5,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13799183093942702,0.18790946001536213,0.0055196732375770805,0.007516378400614485,25,25,670,757,100,121,3.0,3.0,3,0.0
6,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.1460930009779986,0.18829783494584262,0.0058437200391199436,0.007531913397833705,25,25,670,757,100,121,3.0,3.0,3,0.0
7,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.1384926660102792,0.19051603900152259,0.005539706640411169,0.007620641560060903,25,25,670,757,100,121,3.0,3.0,3,0.0
8,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13792396005010232,0.190853374049766,0.005516958402004093,0.00763413496199064,25,25,670,757,100,121,3.0,3.0,3,0.0
9,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.1382057479931973,0.19069016794674098,0.005528229919727892,0.007627606717869639,25,25,670,757,100,121,3.0,3.0,3,0.0
10,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13815945701207966,0.1908349589793943,0.005526378280483186,0.007633398359175771,25,25,670,757,100,121,3.0,3.0,3,0.0
11,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13835437400848605,0.18940933200065047,0.005534174960339442,0.007576373280026019,25,25,670,757,100,121,3.0,3.0,3,0.0
12,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.14751537298434414,0.20065183489350602,0.005900614919373766,0.00802607339574024,25,25,670,757,100,121,3.0,3.0,3,0.0
13,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13628808499197476,0.18950141503592022,0.00545152339967899,0.007580056601436808,25,25,670,757,100,121,3.0,3.0,3,0.0
14,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.1377924979897216,0.1905822930566501,0.0055116999195888635,0.007623291722266004,25,25,670,757,100,121,3.0,3.0,3,0.0
15,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13825033497414552,0.1905196680163499,0.005530013398965821,0.007620786720653996,25,25,670,757,100,121,3.0,3.0,3,0.0
16,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13822829295531847,0.19209445506567135,0.005529131718212739,0.007683778202626854,25,25,670,757,100,121,3.0,3.0,3,0.0
17,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13504696302697994,0.1872620829672087,0.005401878521079198,0.007490483318688348,25,25,670,757,100,121,3.0,3.0,3,0.0
18,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13774529309011996,0.18822712698602118,0.005509811723604798,0.007529085079440847,25,25,670,757,100,121,3.0,3.0,3,0.0
19,minimax_h3,minimax_h4,A,B,0,A,32,16,16,50,25,25,0.13746095905662514,0.18997437504003756,0.005498438362265006,0.007598975001601502,25,25,670,757,100,121,3.0,3.0,3,0.0
